company_name,platform,url,error,timestamp
Do &amp; Co - JFK - Primary,comparably,https://www.comparably.com/companies/do-co/reviews,No reviews parsed from ScraperAPI response,2025-12-12T16:45:09.300792
Del Monte Fresh Produce Houston (TX) - FC 1st,comparably,https://www.comparably.com/companies/fresh-del-monte-produce,No reviews parsed from ScraperAPI response,2025-12-12T16:45:45.680422
Otter Products - CTO,comparably,https://www.comparably.com/companies/otter-products,No reviews parsed from ScraperAPI response,2025-12-12T16:46:29.480455
Chelsea FC Holdings (Coaches DX),comparably,https://www.comparably.com/companies/chelsea-fc,No reviews parsed from ScraperAPI response,2025-12-12T16:57:14.642051
BMS - Boots Management Services Ltd,comparably,https://www.comparably.com/companies/boots-uk/reviews,No reviews parsed from ScraperAPI response,2025-12-12T16:57:57.677275
Boots UK Ltd,comparably,https://www.comparably.com/companies/boots-uk/reviews,No reviews parsed from ScraperAPI response,2025-12-12T17:01:34.238823
Boots Digital Health Limited,comparably,https://www.comparably.com/companies/boots-uk/reviews,No reviews parsed from ScraperAPI response,2025-12-12T17:04:14.679780
